Name,Type,1st Watch,Physical Format,Watch count,Latest Watch,Rating ?/10,Seasons,Episodes Total,Genre,Rewatch potential,Bogdan,Date W/Bogdi,Comments,Counts
Hocus Pocus 2,Film,10/2022,,1,10/2022,7,N/a,N/a,Comedy/Fantasy,7,No,,,
Home Alone,Film,12/2018,Blu-Ray,2,12/2021,10,N/a,N/a,Christmas/Comedy,10,No,,1990,
Home Alone 2 Lost in New York,Film,12/2018,Blu-Ray,2,12/2021,10,N/a,N/a,Christmas/Comedy,10,No,,,
Hotel Transylvania,Film,12/2010,Blu-Ray,1,01/2010,10,N/a,N/a,Comedy,10,No,,,
Hugo,Film,03/2018,Blu-Ray,1,03/2018,10,N/a,N/a,Christmas/Comedy,10,No,,,
I Spit on Your Grave,Film,11/2019,,1,11/2019,7,N/a,N/a,Horror,8,No,,2010 version,
I want to eat your pancreas,Film,03/2022,Blu-Ray,1,03/2022,10,N/a,N/a,Anime,10,Yes,03/2022,Awesome story,
Ice Age,Film,08/2008,Blu-Ray Box Set,5,04/2023,10,N/a,N/a,Animation/Comedy,10,No,,,
Ice Age: The Meltdown,Film,08/2008,Blu-Ray Box Set,3,08/2013,9,N/a,N/a,Animation/Comedy,10,No,,,
Ice Age: Dawn of the Dinosaurs,Film,10/2010,Blu-Ray Box Set,1,10/2010,?,N/a,N/a,Animation/Comedy,10,No,,,
Ice Age: Continental Drift,Film,08/2013,Blu-Ray Box Set,1,08/2013,?,N/a,N/a,Animation/Comedy,10,No,,,
Into the Forest of Fireflies Light,Film,02/2022,,1,02/2022,8,N/a,N/a,Anime,9,Yes,02/2022,,
Iron Man 1 (2008),Film,09/2025,Blu-Ray,1,09/2025,10,N/a,N/a,Action/SuperHeroes,10,,,,
IT,Film,10/2019,"Blu-Ray, Steelbook",1,10/2019,9,N/a,N/a,Horror,10,No,,,
IT Chapter 2,Film,03/2020,4K Blu-Ray,1,03/2020,9,N/a,N/a,Horror,10,No,,,
John Wick Chapter 1,Film,05/2020,Blu-Ray,2,11/2022,10,N/a,N/a,Action,10,Yes,11/2022,,
John Wick Chapter 2,Film,11/2022,Blu-Ray,1,11/2022,10,N/a,N/a,Action,10,Yes,11/2022,,
John Wick Chapter 3,Film,05/2025,Blu-Ray,1,05/2025,10,N/a,N/a,Action,10,Yes,05/2025,HORSES!!!!!,
"Josee, the Tiger and the Fish",Film,04/2022,Blu-Ray,1,04/2022,10,N/a,N/a,Anime,10,Yes,04/2022,,
Journey's End,Film,12/2018,,1,12/2018,8,N/a,N/a,War/Drama,10,No,,,
Jujutsu Kaisen 0,Film,10/2022,Blu-Ray,1,10/2022,10,N/a,N/a,Anime,10,Yes,10/2022,Fucking badass,
Jumanji: The Next Level,Film,06/2025,Blu-Ray,1,06/2025,9,N/a,N/a,Comedy/Adventure,10,No,,watched it on the plane to Beijing,
Jumanji: Welcome to the Jungle,Film,09/2019,Blu-Ray,1,09/2019,8,N/a,N/a,Action/Adventure/Comedy,10,No,,,
Kuroko's Basketball Movie 4: Last Game,Film,09/2022,,1,09/2022,10,N/a,N/a,Anime/Basketball,10,Yes,09/2022,,
La Vita e Bella,Film,05/2011,,2,08/2022,10,N/a,N/a,War/Drama,10,Yes,08/2022,,
Life of Pi,Film,04/2016,Blu-Ray,1,04/2016,8,N/a,N/a,Adventure/Drama,4,No,,,
Limitless,Film,08/2023,,1,08/2023,10,N/a,N/a,Action/Sci-fi,10,Yes,08/2023,,
Little Fockers,Film,08/2018,,1,08/2018,6,N/a,N/a,Comedy,10,No,,,
Luca,Film,10/2021,,1,10/2021,10,N/a,N/a,Animation/Adventure/Fantasy,10,No,,Loved this one a lot as well,
Lucy,Film,08/2023,,1,08/2023,10,N/a,N/a,Action/Sci-fi,10,Yes,08/2023,,
Manchester by the sea,Film,08/2022,Blu-Ray,1,08/2022,10,N/a,N/a,Drama,10,Yes,08/2022,,
Meet The Fockers,Film,08/2018,,1,08/2018,9,N/a,N/a,Comedy,10,No,,,
Meet The Parents,Film,08/2018,,1,08/2018,9,N/a,N/a,Comedy,10,No,,,
Michael Jackson's This is it,Film,08/2015,"Blu-Ray, DVD",5,08/2022,10,,,Music/Drama,10,Yes,08/2022,,
Miss Peregrine's Home for Peculiar Children,Film,04/2018,Blu-Ray,2,10/2022,10,N/a,N/a,Family/Drama/Adventure,10,Yes,10/2022,,
Moana,Film,01/2025,,1,01/2025,9,N/a,N/a,Animation/Fantasy,10,No,,Watched with mum ,
Moartea Domnului Lăzărescu,Film,06/2017,,1,06/2017,8,N/a,N/a,Drama,7,No,,,
Moonwalker,Film,02/2016,Blu-Ray,3,02/2018,10,N/a,N/a,Action/Crime/Music,10,No,,,
Mr. Bean's Holiday,Film,04/2009,,4,04/2016,10,N/a,N/a,Comedy,10,No,,,
My Own Private Idaho,Film,05/2025,,1,05/2025,6,N/a,N/a,Drama,3,Yes,05/2025,,
Nanny McPhee,Film,08/2018,Blu-Ray,1,08/2018,7,N/a,N/a,Comedy,10,No,,,
Open Grave,Film,04/2020,,1,04/2020,8,N/a,N/a,Horror,0,No,,,
Ouija,Film,10/2019,,1,10/2019,5,N/a,N/a,Horror,0,No,,Not worth any rewatch,
Over the sky,Film,12/2022,,1,12/2022,10,N/a,N/a,Anime,10,Yes,12/2022,,
Patema Inverted,Film,10/2022,,1,10/2022,8,N/a,N/a,Anime,7,Yes,10/2022,,
The Phantom of the Opera,Film,10/2025,,1,10/2025,10,N/a,N/a,Thriller/Drama/Musicals,10,No,,I AM INSIDE YOUR MIND,
Polar Express,Film,04/2016,Blu-Ray,3,04/2019,9,N/a,N/a,Animation/Christmas,8,No,,,
Psycho,Film,06/2017,,1,06/2017,10,N/a,N/a,Psychologic/Horror,8,No,,,
Puss in Boots: Last Wish,Film,06/2023,Blu-Ray,1,06/2023,10,N/a,N/a,Animation/Fantasy,10,Yes,06/2023,Shrek 😎,
Ratatouille,Film,N/a,Blu-Ray,1,N/a,10,N/a,N/a,Animation/Comedy,10,No,,,
Reconstituirea,Film,06/2017,,1,06/2017,?,N/a,N/a,Comedy/Drama,7,No,,,
Red Dragon,Film,08/2020,,1,08/2020,8,N/a,N/a,Horror,10,No,,Third part from the Hannibal Lecter,
Replicas,Film,07/2020,,1,07/2020,10,N/a,N/a,Drama/Sci-Fi,10,No,,,
Rescued by Ruby,Film,02/2025,,1,02/2025,10,N/a,N/a,Family,10,Yes,02/2025,,
